,head_id,relation_id,tail_id,score,in_validation,in_testing
198,12,13,9,-0.27165103,False,False
199,24,11,18,-0.27166206,False,False
200,7,13,7,-0.27173862,False,False
201,23,12,23,-0.27177328,False,False
202,16,7,16,-0.2718234,False,False
203,32,6,8,-0.2719499,False,False
205,24,15,46,-0.27211988,False,False
206,26,13,26,-0.27223554,False,False
207,40,14,34,-0.27229664,False,False
208,46,10,26,-0.27230424,False,False
210,29,13,29,-0.2725343,False,False
211,23,7,23,-0.2725346,False,False
212,27,12,27,-0.27256313,False,False
213,6,0,7,-0.2726896,False,False
214,9,7,9,-0.27269915,False,False
215,43,7,1,-0.27277198,False,False
216,41,1,41,-0.27279365,False,False
217,41,12,41,-0.27288333,False,False
218,32,9,12,-0.27301672,False,False
219,40,8,44,-0.27305064,False,False
220,44,7,44,-0.27306432,False,False
221,24,12,24,-0.2730854,False,False
222,16,6,8,-0.27315384,False,False
223,4,1,4,-0.2731539,False,False
224,38,8,17,-0.27327937,False,False
225,17,1,17,-0.2733395,False,False
226,9,9,14,-0.27336377,False,False
227,2,9,23,-0.27338657,False,False
228,40,7,1,-0.2735291,False,False
229,12,13,12,-0.27361143,False,False
230,14,7,1,-0.27372012,False,False
231,3,9,23,-0.27373886,False,False
232,41,13,41,-0.27382475,False,False
233,27,9,23,-0.27389854,False,False
234,35,4,24,-0.27410582,False,False
235,28,7,1,-0.27412456,False,False
236,13,8,17,-0.2741253,False,False
237,3,7,25,-0.27423358,False,False
238,3,10,44,-0.2742475,False,False
239,34,7,1,-0.2743039,False,False
240,6,4,24,-0.27433106,False,False
241,45,13,34,-0.27435935,False,False
242,32,6,38,-0.27442887,False,False
243,22,8,17,-0.27444136,False,False
244,23,13,3,-0.27478963,False,False
245,2,1,46,-0.2748664,False,False
246,28,14,34,-0.27489784,False,False
247,1,7,1,-0.2749695,False,False
248,24,16,24,-0.27498886,False,False
249,15,13,29,-0.27499238,False,False
250,22,14,34,-0.27503365,False,False
251,26,5,5,-0.27507666,False,False
252,42,13,42,-0.27513894,False,False
253,36,0,36,-0.27514347,False,False
254,32,6,41,-0.27518588,False,False
255,6,10,44,-0.27521756,False,False
258,21,13,23,-0.27542102,False,False
259,17,13,17,-0.27549386,False,False
260,12,13,13,-0.2755664,False,False
261,9,9,18,-0.27569047,False,False
262,34,7,4,-0.2756939,False,False
264,7,7,7,-0.27581868,False,False
265,32,9,37,-0.27583173,False,False
266,36,7,36,-0.27604306,False,False
267,46,9,43,-0.276114,False,False
268,44,12,44,-0.27618158,False,False
269,32,13,32,-0.2762152,False,False
270,3,13,16,-0.27623364,False,False
272,32,6,4,-0.27636048,False,False
274,13,7,13,-0.27641445,False,False
275,3,13,2,-0.27642694,False,False
276,30,0,16,-0.27647066,False,False
277,29,9,23,-0.27650037,False,False
278,0,13,0,-0.2765165,False,False
279,32,6,33,-0.27656236,False,False
280,24,7,24,-0.2766429,False,False
281,38,12,38,-0.27665618,False,False
282,33,13,33,-0.27671012,False,False
283,9,14,34,-0.2767277,False,False
284,11,7,4,-0.2767473,False,False
285,43,9,23,-0.27678064,False,False
286,10,0,36,-0.27679914,False,False
287,9,9,35,-0.276869,False,False
288,6,10,39,-0.27689645,False,False
289,2,9,5,-0.276931,False,False
290,33,6,28,-0.27703163,False,False
291,29,12,28,-0.2770867,False,False
292,17,14,34,-0.27709746,False,False
293,6,7,4,-0.27714506,False,False
294,44,13,7,-0.27717337,False,False
296,16,12,16,-0.2772619,False,False
297,4,9,23,-0.27731884,False,False
298,29,8,17,-0.27735344,False,False
299,17,9,23,-0.27736378,False,False
300,21,6,33,-0.2774565,False,False
301,31,13,31,-0.2774695,False,False
302,0,7,1,-0.2774755,False,False
303,46,7,1,-0.2774756,False,False
304,13,7,37,-0.27748471,False,False
305,19,13,23,-0.27749673,False,False
306,27,1,27,-0.27750334,False,False
307,45,4,24,-0.2775211,False,False
308,15,7,15,-0.2775519,False,False
309,3,10,23,-0.27762455,False,False
310,3,4,20,-0.277652,False,False
311,0,13,17,-0.277679,False,False
312,24,6,28,-0.27769145,False,False
313,28,8,17,-0.2777387,False,False
314,16,7,37,-0.27777818,False,False
316,1,1,1,-0.27786544,False,False
317,5,12,28,-0.2779811,False,False
318,4,8,17,-0.27801207,False,False
319,3,13,9,-0.27802038,False,False
320,30,7,30,-0.27802855,False,False
321,10,14,34,-0.2780321,False,False
322,43,4,24,-0.27808446,False,False
323,12,13,25,-0.27809107,False,False
324,5,13,5,-0.27817526,False,False
325,20,0,26,-0.27820808,False,False
326,36,9,23,-0.27831253,False,False
327,21,10,26,-0.27834994,False,False
328,8,10,29,-0.27841213,False,False
329,22,12,28,-0.27845144,False,False
332,16,0,16,-0.27873683,False,False
333,45,7,1,-0.27887985,False,False
334,6,14,34,-0.27898055,False,False
335,3,13,4,-0.2789809,False,False
336,40,13,23,-0.2791137,False,False
337,9,9,7,-0.2792185,False,False
338,15,13,27,-0.27923498,False,False
339,31,12,31,-0.279245,False,False
340,9,6,37,-0.2792668,False,False
341,3,13,22,-0.27926764,False,False
342,41,4,24,-0.27931243,False,False
343,36,8,28,-0.27934167,False,False
344,32,6,37,-0.27936012,False,False
345,1,13,1,-0.27940756,False,False
346,34,9,23,-0.27941287,False,False
347,34,8,34,-0.27942735,False,False
348,32,6,2,-0.2794365,False,False
349,38,10,27,-0.27949855,False,False
350,6,10,42,-0.27954167,False,False
351,23,7,35,-0.2795651,False,False
352,16,11,25,-0.27956864,False,False
353,42,15,21,-0.27956876,False,False
354,35,13,37,-0.27957988,False,False
355,30,7,8,-0.27959043,False,False
356,34,7,34,-0.27964365,False,False
357,36,7,1,-0.27965763,False,False
358,28,11,40,-0.27966353,False,False
359,37,7,37,-0.27968454,False,False
360,43,0,43,-0.27969405,False,False
361,40,13,40,-0.27971417,False,False
362,3,13,45,-0.27971867,False,False
363,29,3,17,-0.27975404,False,False
364,42,6,28,-0.27978277,False,False
366,12,6,28,-0.2798194,False,False
367,30,10,2,-0.27983335,False,False
368,43,6,33,-0.27991846,False,False
369,24,3,24,-0.27992648,False,False
370,43,8,43,-0.27993843,False,False
371,24,2,24,-0.27996206,False,False
372,24,15,16,-0.2799641,False,False
373,2,7,2,-0.27996936,False,False
374,17,8,17,-0.28000212,False,False
375,13,13,9,-0.28002337,False,False
376,41,7,41,-0.2800503,False,False
377,24,7,19,-0.28005692,False,False
378,45,13,29,-0.2800846,False,False
379,15,6,28,-0.28013182,False,False
380,42,3,4,-0.28015321,False,False
381,26,12,28,-0.28015673,False,False
382,3,7,3,-0.28015792,False,False
383,12,16,30,-0.2801594,False,False
384,24,11,33,-0.28022593,False,False
385,29,12,29,-0.2802371,False,False
386,35,0,12,-0.28024855,False,False
388,42,7,42,-0.28030205,False,False
389,9,9,32,-0.280322,False,False
390,12,9,23,-0.28032264,False,False
391,25,13,13,-0.28033242,False,False
392,6,7,6,-0.28036,False,False
393,43,7,43,-0.28036958,False,False
394,1,0,45,-0.2804372,False,False
395,18,10,16,-0.28047705,False,False
396,28,7,4,-0.2805364,False,False
397,45,13,23,-0.28059387,False,False
398,19,13,19,-0.2806314,False,False
399,15,13,43,-0.28063145,False,False
400,5,0,36,-0.28064185,False,False
401,31,7,4,-0.28074628,False,False
402,9,9,5,-0.28076145,False,False
403,46,9,4,-0.2807662,False,False
404,31,10,19,-0.28090805,False,False
405,5,14,34,-0.28091,False,False
406,8,8,15,-0.28092003,False,False
409,43,2,43,-0.2810106,False,False
410,12,7,4,-0.2810118,False,False
411,43,12,43,-0.28104207,False,False
413,19,8,17,-0.2811502,False,False
414,21,14,34,-0.2811985,False,True
415,37,9,23,-0.28119907,False,False
416,13,8,15,-0.28122258,False,False
417,30,1,46,-0.28123918,False,False
418,12,11,40,-0.281249,False,False
419,23,13,43,-0.28133482,False,False
420,1,13,23,-0.28137034,False,False
421,16,13,37,-0.28137583,False,False
422,8,1,8,-0.2813817,False,False
424,39,9,8,-0.28141272,False,False
425,12,13,37,-0.28145987,False,False
426,8,7,8,-0.28147408,False,False
427,40,7,40,-0.28155732,False,False
428,25,13,43,-0.28157684,False,False
429,24,15,19,-0.28161183,False,False
430,29,13,21,-0.2816627,False,False
431,32,6,43,-0.28167328,False,False
432,9,9,21,-0.2817342,False,False
433,6,13,6,-0.28173497,False,False
434,20,14,34,-0.2817771,False,False
437,30,7,4,-0.2818797,False,False
438,39,13,39,-0.28190404,False,False
439,3,13,43,-0.28190896,False,False
440,46,1,46,-0.28197858,False,False
441,9,13,27,-0.2819827,False,False
442,29,7,4,-0.28199118,False,False
443,24,11,29,-0.2820013,False,False
444,10,13,10,-0.2820247,False,False
445,5,0,9,-0.28205717,False,False
446,32,9,8,-0.28205803,False,False
447,15,13,8,-0.28209147,False,False
448,12,7,12,-0.2821333,False,False
449,24,15,26,-0.28214234,False,False
451,6,10,36,-0.28221473,False,False
452,32,7,8,-0.28230077,False,False
453,6,0,8,-0.28231084,False,False
454,23,8,23,-0.28233162,False,False
455,32,13,29,-0.28240007,False,False
456,17,10,26,-0.28240204,False,False
457,24,7,37,-0.28240263,False,False
459,32,9,9,-0.28246015,False,False
460,32,9,20,-0.28247523,False,False
461,34,8,17,-0.28251785,False,False
462,38,7,1,-0.28261992,False,False
463,7,13,23,-0.28262404,False,False
465,21,9,23,-0.28271747,False,False
466,25,13,29,-0.28278655,False,False
467,16,8,17,-0.28279173,False,False
468,36,1,36,-0.28281105,False,False
469,18,13,18,-0.2828147,False,False
472,13,7,8,-0.2828615,False,False
473,21,1,21,-0.28289744,False,False
474,27,7,37,-0.28293565,False,False
475,21,16,15,-0.28294626,False,False
476,3,0,44,-0.28296682,False,False
477,44,10,44,-0.28297803,False,False
478,31,6,28,-0.2830027,False,False
479,1,0,21,-0.2830217,False,False
480,3,10,34,-0.28302425,False,False
481,38,9,23,-0.28305194,False,False
482,9,9,43,-0.2830534,False,False
484,17,7,4,-0.28316262,False,False
485,42,15,1,-0.28317094,False,False
486,9,13,26,-0.28319442,False,False
487,29,10,16,-0.2832219,False,False
488,39,12,39,-0.28323084,False,False
489,43,6,43,-0.28326002,False,False
490,6,10,26,-0.28326944,False,False
491,32,0,32,-0.28335452,False,False
492,35,13,35,-0.2834696,False,False
493,12,13,39,-0.2834984,False,False
494,7,12,7,-0.28351212,False,False
495,3,13,25,-0.28353912,False,False
496,25,4,36,-0.2835996,False,False
497,24,15,30,-0.28362536,False,False
498,16,6,22,-0.2836393,False,False
499,30,10,26,-0.28365448,False,False
500,18,7,1,-0.2836571,False,False
501,12,7,1,-0.28367424,False,False
502,32,6,35,-0.28374204,False,False
503,36,7,19,-0.283761,False,False
504,45,12,45,-0.28379372,False,False
505,25,7,4,-0.283821,False,False
506,24,13,40,-0.28383005,False,False
507,16,6,33,-0.28383434,False,False
508,22,13,43,-0.28387472,False,False
509,15,13,15,-0.28388885,False,False
510,1,13,8,-0.28389633,False,False
511,42,11,40,-0.28391638,False,False
512,23,2,21,-0.2839352,False,False
513,26,7,15,-0.28393838,False,False
514,3,10,35,-0.283954,False,False
515,39,9,23,-0.28398436,False,False
516,9,8,17,-0.28398478,False,False
517,9,2,33,-0.28400424,False,False
518,43,10,26,-0.2840726,False,False
519,35,14,34,-0.28407392,False,False
520,14,13,16,-0.28407708,False,False
521,10,7,1,-0.28408992,False,False
522,5,10,26,-0.28409,False,False
523,36,6,36,-0.28410152,False,False
524,42,13,7,-0.28410757,False,False
525,43,10,23,-0.28413692,False,False
526,10,12,10,-0.28413954,False,False
527,44,7,1,-0.28420183,False,False
528,15,10,4,-0.28420818,False,False
529,29,7,1,-0.2842296,False,False
530,18,10,28,-0.28423128,False,False
531,38,13,27,-0.28424415,False,False
532,43,13,25,-0.28425276,False,False
533,30,4,21,-0.2842546,False,False
534,15,13,26,-0.2842623,False,False
535,4,9,29,-0.28426462,False,False
536,31,13,17,-0.28426713,False,False
537,12,12,12,-0.28426856,False,False
538,10,13,28,-0.2842801,False,False
539,32,9,34,-0.2843439,False,False
540,8,13,8,-0.28440282,False,False
541,15,8,17,-0.2844038,False,False
542,24,3,21,-0.28441185,False,False
543,26,7,26,-0.28444687,False,False
544,12,13,8,-0.28445733,False,False
546,32,10,28,-0.28447452,False,False
547,40,7,37,-0.28448167,False,False
548,14,13,14,-0.2844847,False,False
549,23,8,11,-0.28450108,False,False
550,42,6,25,-0.28452757,False,False
551,9,13,33,-0.28453144,False,False
552,24,15,24,-0.28453815,False,False
553,23,8,44,-0.28454068,False,False
554,8,14,34,-0.28454286,False,False
555,42,0,40,-0.28455025,False,False
556,36,7,4,-0.28460723,False,False
557,15,7,1,-0.28465077,False,False
558,9,7,1,-0.28467044,False,False
559,31,13,36,-0.28467306,False,False
560,24,15,37,-0.28468147,False,False
561,26,7,37,-0.28469145,False,False
562,8,10,33,-0.28469536,False,False
563,3,6,33,-0.2846959,False,False
564,16,1,16,-0.28469825,False,False
565,44,13,26,-0.28469834,False,False
566,8,8,1,-0.28470227,False,False
567,30,10,33,-0.28471667,False,False
568,45,13,7,-0.2847185,False,False
569,24,11,4,-0.28474614,False,False
570,6,0,26,-0.28475037,False,False
571,41,13,34,-0.2847939,False,False
572,8,10,16,-0.2848237,False,False
573,15,1,15,-0.28482905,False,False
574,33,14,34,-0.28484404,False,False
575,35,13,43,-0.284905,False,False
576,18,10,14,-0.28491092,False,False
577,5,7,5,-0.28495702,False,False
578,24,11,15,-0.2849932,False,False
579,9,13,13,-0.2850402,False,False
580,18,10,15,-0.2850512,False,False
581,36,13,41,-0.28506598,False,False
582,8,6,8,-0.285106,False,False
583,41,10,39,-0.28512305,False,False
584,32,9,24,-0.2851235,False,False
585,4,13,19,-0.28513467,False,False
586,42,4,16,-0.2851617,False,False
587,13,8,44,-0.28516468,False,False
588,25,8,17,-0.28518444,False,False
589,3,12,3,-0.28522718,False,False
590,10,4,21,-0.28526586,False,False
591,33,13,9,-0.28534108,False,False
592,9,8,29,-0.28535283,False,False
593,6,11,40,-0.2853665,False,False
594,39,9,6,-0.285393,False,False
595,14,7,4,-0.28541058,False,False
596,38,13,38,-0.2854123,False,False
597,38,13,39,-0.28544518,False,False
598,3,13,7,-0.28548196,False,False
599,2,9,35,-0.2854953,False,False
600,0,14,34,-0.28549695,False,True
601,14,6,8,-0.28550538,False,False
602,14,10,26,-0.2855284,False,False
603,5,7,1,-0.28555462,True,False
604,29,4,24,-0.2855794,False,False
605,21,0,21,-0.28559995,False,False
606,43,6,28,-0.28560522,False,False
607,28,10,26,-0.2856352,False,False
608,23,2,44,-0.28565058,False,False
609,9,6,28,-0.2856549,False,False
610,35,13,23,-0.2856615,False,False
611,43,7,19,-0.28566447,False,False
612,24,11,30,-0.2856661,False,False
613,28,13,23,-0.28566867,False,False
614,28,13,28,-0.28567865,False,False
615,11,10,2,-0.2856801,False,False
617,27,0,43,-0.28574866,False,False
618,41,8,15,-0.28576136,False,False
619,20,9,23,-0.28576642,False,False
620,24,11,46,-0.2858334,False,False
621,15,13,4,-0.28583536,False,False
622,3,1,46,-0.28584304,False,False
623,46,0,36,-0.28585753,False,False
624,43,13,35,-0.28586763,False,False
625,7,1,7,-0.2858708,False,False
626,21,12,21,-0.28588971,False,False
627,3,1,3,-0.2858901,False,False
628,21,16,7,-0.28590328,False,False
629,7,13,29,-0.28591472,False,False
630,25,7,1,-0.28592637,False,False
631,15,9,23,-0.28593302,False,False
632,11,10,21,-0.2860102,False,False
633,3,0,38,-0.2860379,False,False
634,3,10,42,-0.28604552,False,False
635,4,10,15,-0.2860505,False,False
637,30,13,9,-0.28608108,False,False
638,21,13,9,-0.28609237,False,False
639,7,13,17,-0.2861042,False,False
640,3,13,29,-0.28618652,False,False
641,32,6,17,-0.28619984,False,False
642,4,9,21,-0.2862112,False,False
643,41,1,1,-0.2862136,False,False
644,39,8,17,-0.28621653,False,False
645,24,11,26,-0.2862326,False,False
646,27,4,21,-0.28623515,False,False
647,20,8,17,-0.28623775,False,False
648,27,7,1,-0.28624997,False,False
649,26,6,28,-0.28625044,False,False
650,24,13,37,-0.28625914,False,False
651,14,9,23,-0.28626952,False,False
652,12,4,24,-0.28628123,False,False
653,22,13,22,-0.28628883,False,False
654,10,10,26,-0.2862964,False,False
655,23,6,39,-0.28631264,False,False
656,2,9,13,-0.28631344,False,False
657,27,13,9,-0.2863367,False,False
658,45,10,26,-0.2863483,False,False
659,46,13,23,-0.28635463,False,False
660,37,13,16,-0.28635484,False,False
661,23,2,23,-0.28636482,False,False
662,10,9,18,-0.2863861,False,False
663,45,13,9,-0.2863881,False,False
664,9,8,44,-0.28640738,False,False
665,15,8,15,-0.28640848,False,False
666,4,10,26,-0.28641796,False,False
667,21,13,8,-0.2864237,False,False
668,23,8,8,-0.2864787,False,False
669,21,7,35,-0.28648615,False,False
670,8,12,8,-0.286492,False,False
671,38,10,40,-0.28649786,False,False
672,34,10,30,-0.28649864,False,False
673,36,13,17,-0.28652808,False,False
674,13,7,35,-0.28653887,False,False
675,23,6,0,-0.28654772,False,False
676,21,8,10,-0.28655156,False,False
677,10,7,10,-0.28655872,False,False
678,24,11,31,-0.2865663,False,False
679,3,10,9,-0.28657788,False,False
680,12,13,17,-0.28658423,False,False
681,11,11,46,-0.28658882,False,False
682,7,12,36,-0.28661734,False,False
683,5,7,25,-0.2866435,False,False
684,45,7,4,-0.28666952,False,False
685,24,9,34,-0.2866783,False,False
686,39,2,36,-0.28669485,False,False
687,23,8,15,-0.286695,False,False
688,21,10,21,-0.2866995,False,False
689,40,13,24,-0.28670004,False,False
690,3,10,21,-0.2867043,False,False
691,23,13,28,-0.28671676,False,False
692,13,10,37,-0.2867311,False,False
693,3,0,26,-0.28676245,False,False
694,9,9,12,-0.2867735,False,False
695,32,7,19,-0.2868482,False,False
696,28,13,37,-0.2868606,False,False
697,18,8,17,-0.28690758,False,False
698,33,7,1,-0.28692082,True,False
699,39,10,28,-0.2869213,False,False
700,44,13,29,-0.286936,False,False
701,38,10,21,-0.28695983,False,False
702,21,7,44,-0.2869705,False,False
703,14,13,17,-0.28697258,False,False
704,9,13,29,-0.2869772,False,False
705,14,7,37,-0.28697753,False,False
706,17,6,28,-0.28698593,False,False
707,3,10,14,-0.28701094,False,False
708,36,13,36,-0.28702363,False,False
709,41,9,23,-0.2870419,False,False
710,11,9,23,-0.2870436,False,False
711,32,7,15,-0.2870452,False,False
712,12,6,19,-0.28706267,False,False
713,3,13,6,-0.28707817,False,False
714,45,13,33,-0.28708375,False,False
715,16,6,6,-0.28708982,False,False
716,45,14,34,-0.2871145,False,False
717,44,9,22,-0.28711587,False,False
718,18,0,29,-0.28711754,False,False
719,42,13,23,-0.287122,False,False
720,32,6,32,-0.28713414,False,False
722,14,1,14,-0.28718525,False,False
723,21,2,21,-0.2872155,False,False
724,4,13,9,-0.2872571,False,False
725,28,6,32,-0.287281,False,False
726,31,6,44,-0.28730673,False,False
727,22,7,22,-0.2873117,False,False
728,23,2,25,-0.28731596,False,False
729,9,9,34,-0.28732368,False,False
730,15,13,24,-0.28733283,False,False
731,13,14,34,-0.28734076,False,False
732,24,15,43,-0.28734875,False,False
733,29,13,16,-0.28735137,False,False
734,2,9,20,-0.28736594,False,False
735,2,2,7,-0.28739396,False,False
736,3,13,17,-0.28740263,False,False
737,15,13,23,-0.2874154,False,False
738,31,1,31,-0.28743497,False,False
739,24,11,39,-0.28743654,False,False
740,27,7,19,-0.287441,False,False
741,3,8,17,-0.28751573,True,False
742,9,5,8,-0.28751925,False,False
743,27,14,34,-0.28752717,False,False
744,32,6,6,-0.28755507,False,False
745,4,13,41,-0.2876126,False,False
746,6,8,15,-0.28761557,False,False
747,42,6,13,-0.28761983,False,False
748,9,9,31,-0.2876277,False,False
749,46,9,35,-0.2876319,False,False
750,46,13,46,-0.28764096,False,False
751,16,11,18,-0.2876504,False,False
752,29,13,7,-0.28767884,False,False
753,27,0,21,-0.28770462,False,False
754,33,8,17,-0.2877122,False,False
755,2,1,6,-0.287725,False,False
756,6,0,23,-0.28773087,False,False
757,40,1,37,-0.2877351,False,False
758,45,13,14,-0.28773686,False,False
759,9,9,16,-0.2877665,False,False
760,27,12,28,-0.28777197,False,False
761,32,6,34,-0.2877828,False,False
762,40,13,27,-0.28779888,False,False
763,3,10,18,-0.2878084,False,False
764,6,11,38,-0.28780964,False,False
765,27,8,15,-0.28782687,False,False
766,11,6,28,-0.2878432,False,False
767,23,6,24,-0.28785115,False,False
768,32,10,32,-0.28789723,False,False
769,8,13,2,-0.28790277,False,False
770,40,15,43,-0.28794053,False,False
771,24,7,35,-0.2879479,False,False
772,42,7,37,-0.28795707,False,False
773,45,13,24,-0.28798538,False,False
774,23,6,35,-0.28800535,False,False
775,22,0,36,-0.28803906,False,False
776,16,11,38,-0.2880444,False,False
777,24,13,9,-0.28805175,False,False
778,28,9,23,-0.2880559,False,False
779,4,9,7,-0.28807005,False,False
780,26,7,43,-0.28808933,False,False
781,36,13,7,-0.28809413,False,False
782,30,9,23,-0.28810084,False,False
783,39,1,39,-0.28811347,False,False
784,41,0,41,-0.2881264,False,False
785,12,13,2,-0.28815565,False,False
786,26,1,7,-0.28815708,False,False
787,38,13,41,-0.28816608,False,False
788,34,13,45,-0.2881673,False,False
789,29,10,21,-0.28823212,False,False
790,7,9,37,-0.28823772,False,False
791,2,13,2,-0.28825247,False,False
792,30,12,30,-0.28828713,False,False
793,14,0,2,-0.2882948,False,False
794,12,8,32,-0.2883241,False,False
795,31,9,23,-0.28832805,False,False
796,43,8,44,-0.28835595,False,False
797,45,13,27,-0.2883805,False,False
798,22,13,9,-0.28839016,False,False
799,4,13,13,-0.28840217,False,False
800,28,12,18,-0.28843513,False,False
801,34,0,36,-0.28848314,False,False
802,21,13,27,-0.28848925,False,False
803,27,1,46,-0.28849742,False,False
804,34,13,23,-0.28851733,False,False
805,44,1,44,-0.28854424,False,False
807,21,13,0,-0.28855327,False,False
808,44,13,27,-0.2885619,False,False
809,31,13,16,-0.28857237,False,False
810,25,7,25,-0.28857428,False,False
811,7,10,27,-0.28857645,False,False
812,3,10,33,-0.28858173,False,False
813,19,9,23,-0.2886124,False,False
814,18,10,5,-0.2886282,False,False
815,17,7,17,-0.28863236,False,False
816,26,8,17,-0.2886379,False,False
817,33,13,37,-0.2886405,False,False
818,23,8,32,-0.28864855,False,False
819,0,8,15,-0.2886694,False,False
820,3,13,18,-0.28867736,False,False
821,27,0,27,-0.28870484,False,False
822,16,6,29,-0.2887061,False,False
823,35,13,14,-0.28871801,False,False
824,39,9,35,-0.2887329,False,False
825,16,11,32,-0.28875357,False,False
826,37,9,7,-0.2887594,False,False
827,45,13,45,-0.2887798,False,False
828,3,14,34,-0.28878906,False,False
829,32,10,26,-0.28879955,False,False
830,39,4,16,-0.2888074,False,False
831,23,6,28,-0.2888203,False,False
832,15,14,34,-0.288837,False,False
833,15,11,40,-0.28884524,False,False
834,17,4,16,-0.2888524,False,False
